blank,,50% Ni/Al2O3,,5% La/Ni/Al2O3,,5% Ce/Ni/Al2O3,,5% Nd/Ni/Al2O3,,5% Sm/Ni/Al2O3,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
718.9007880816151,60.6441316264558,200,0.4424778761061958,202.3728813559322,0,200,0,202.3728813559322,0,202.3728813559322,0
805.5929504480191,94.24191021738719,233.22033898305082,0,228.47457627118646,0,233.22033898305082,0,230.84745762711864,0,230.84745762711864,0.4424778761061958
200,0,259.3220338983051,0,261.69491525423734,0,261.69491525423734,0,261.69491525423734,0,261.69491525423734,0
230.84745762711864,0,290.1694915254237,0,292.54237288135596,-0.4424778761061958,292.54237288135596,0,292.54237288135596,0,292.54237288135596,0
261.69491525423734,0,321.01694915254234,0,323.3898305084746,0,318.6440677966101,0,321.01694915254234,0.4424778761061958,321.01694915254234,0
290.1694915254237,0,349.49152542372883,0,349.49152542372883,7.079646017699105,349.49152542372883,3.0973451327433423,349.49152542372883,3.0973451327433423,349.49152542372883,2.6548672566371465
321.01694915254234,0,382.7118644067797,3.982300884955734,380.33898305084745,16.814159292035384,380.33898305084745,7.079646017699105,380.33898305084745,7.5221238938053006,380.33898305084745,7.964601769911496
354.2372881355932,0,411.18644067796606,11.504424778761049,411.18644067796606,30.530973451327412,408.81355932203394,13.716814159292028,411.18644067796606,16.37168141592919,411.18644067796606,15.486725663716797
380.33898305084745,0,442.0338983050848,19.46902654867256,439.66101694915255,50.44247787610617,439.66101694915255,28.761061946902643,442.0338983050848,23.451327433628308,439.66101694915255,28.318584070796447
411.18644067796606,0,470.5084745762713,37.61061946902653,470.5084745762713,76.10619469026547,468.13559322033905,50.88495575221236,470.5084745762713,45.57522123893804,470.5084745762713,49.55752212389379
439.66101694915255,0,498.9830508474578,58.407079646017685,501.3559322033899,89.8230088495575,501.3559322033899,76.99115044247786,501.3559322033899,65.4867256637168,501.3559322033899,69.02654867256635
470.5084745762713,-0.4424778761061958,532.2033898305085,82.74336283185838,532.2033898305085,97.787610619469,529.8305084745764,94.69026548672564,529.8305084745764,84.07079646017696,529.8305084745764,89.3805309734513
501.3559322033899,2.212389380530979,560.677966101695,93.80530973451326,560.677966101695,99.11504424778758,560.677966101695,99.11504424778758,560.677966101695,94.69026548672564,558.3050847457628,96.01769911504422
532.2033898305085,5.752212389380517,591.5254237288136,98.6725663716814,589.1525423728814,99.55752212389379,589.1525423728814,99.99999999999997,591.5254237288136,99.11504424778758,589.1525423728814,99.99999999999997
560.677966101695,8.849557522123888,622.3728813559322,100.44247787610617,620,99.99999999999997,620,99.99999999999997,620,99.99999999999997,620,100.44247787610617
591.5254237288136,11.504424778761049,650.8474576271186,100.44247787610617,648.4745762711865,99.99999999999997,650.8474576271186,100.44247787610617,650.8474576271186,99.99999999999997,650.8474576271186,100.44247787610617
620,14.159292035398224,681.6949152542372,99.99999999999997,679.3220338983051,99.99999999999997,679.3220338983051,100.44247787610617,676.949152542373,99.99999999999997,681.6949152542372,100.44247787610617
650.8474576271186,25.22123893805309,,,,,,,,,,
681.6949152542372,35.84070796460176,,,,,,,,,,
710.1694915254238,51.32743362831857,,,,,,,,,,
741.0169491525425,77.43362831858406,,,,,,,,,,
769.4915254237288,87.61061946902653,,,,,,,,,,
800.3389830508474,97.34513274336281,,,,,,,,,,
828.8135593220339,99.11504424778758,,,,,,,,,,
862.0338983050848,99.55752212389379,,,,,,,,,,
