3%Sm/Ni/Al2O3,,5%Sm/Ni/Al2O3,,10%Sm/Ni/Al2O3,
X,Y,X,Y,X,Y
200,0.04048582995949346,200,0.04048582995949346,200,0.04048582995949346
242.5,0.06506651243492456,242.5,0.06506651243492456,242.5,-0.33979178716020897
285,0.08964719491032724,285,0.08964719491032724,282.5,-0.3166570271833393
327.5,0.11422787738575835,325,0.11278195488719689,325,0.11278195488719689
367.5,0.137362637362628,367.5,0.137362637362628,367.5,0.137362637362628
412.4999999999998,1.3779641411220211,409.9999999999998,2.186234817813755,409.9999999999998,3.4008097165991273
452.5,3.8302486986697204,452.5,7.878831694621141,452.5,5.8545401966454165
494.9999999999998,12.356853672643155,494.9999999999998,15.595720069404251,494.9999999999998,9.522845575477135
537.5,26.95633314054362,535,28.57432041642562,537.5,19.668883747831075
577.4999999999998,46.007807981492164,577.4999999999998,49.65153267784845,577.4999999999998,38.72035858877959
620,65.4655870445344,620,69.51417004048582,620,62.63157894736838
662.4999999999998,85.32822440717175,662.4999999999998,89.37680740312317,659.9999999999998,84.92192018507805
704.9999999999998,95.06940427993058,704.9999999999998,96.68883747831114,702.4999999999998,95.47281665702718
747.4999999999998,98.73770965876224,747.4999999999998,100.35714285714283,747.4999999999998,100.35714285714283
789.9999999999998,100.38172353961826,789.9999999999998,100.38172353961826,787.4999999999998,100.3802776171197
830,100.40485829959513,832.5,100.4063042220937,832.5,100.4063042220937
872.4999999999998,100.42943898207054,872.4999999999998,100.02458068247537,872.4999999999998,100.42943898207054
