20,400 mL/gcat/h,,10,200 mL/gcat/h,,30,600 mL/gcat/h,
X,Y,X,Y,X,Y
213.77049180327867,-0.40485829959514774,213.77049180327867,0.4048582995951193,211.47540983606564,0
257.37704918032773,0,255.0819672131147,0.4048582995951193,255.0819672131147,0
298.688524590164,0,298.688524590164,0,298.688524590164,0
342.29508196721304,0,340,0.4048582995951193,340,0
381.311475409836,0,383.60655737704906,0,381.311475409836,1.6194331983805483
422.62295081967204,6.882591093117384,424.9180327868853,0,422.62295081967204,3.6437246963562586
466.2295081967213,17.00404858299595,466.2295081967213,6.882591093117384,466.2295081967213,6.477732793522236
509.8360655737706,30.36437246963561,507.54098360655735,13.360323886639662,507.54098360655735,13.765182186234796
551.1475409836066,50.6072874493927,548.8524590163934,27.53036437246962,548.8524590163934,26.31578947368419
592.4590163934427,76.11336032388664,592.4590163934427,44.93927125506072,592.4590163934427,44.129554655870436
633.7704918032787,89.06882591093117,633.7704918032787,68.0161943319838,633.7704918032787,68.82591093117408
677.377049180328,97.97570850202429,677.377049180328,86.63967611336031,677.377049180328,83.80566801619432
718.688524590164,99.19028340080972,718.688524590164,96.76113360323886,718.688524590164,95.54655870445343
762.2950819672133,100,762.2950819672133,100,762.2950819672133,100
801.311475409836,100,801.311475409836,100.40485829959513,803.6065573770491,100.40485829959513
844.9180327868853,100,844.9180327868853,100.40485829959513,844.9180327868853,100.40485829959513
