1bar,,10bar,,20bar,,40bar,,xeq_at_40bar,,xeq_at_patm,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
249.45553539019963,1.6241299303944317,249.45553539019963,0,250,0.23201856148492084,249.45553539019963,-0.23201856148490663,254.15193155302046,32.23671417522927,256.3857920663728,90.67188708430008
300.0907441016334,8.584686774942,300.0907441016334,0.23201856148492084,299.00181488203265,0.4640371229698417,299.546279491833,0.23201856148492084,266.0555123440786,35.76461778317929,269.88203266787656,92.66060226617071
350.1814882032668,27.14617169373551,350.1814882032668,7.656612529002317,349.09255898366604,5.800464037122978,349.09255898366604,4.4083526682134675,276.2940396969435,39.00385469991039,284.77443609022555,94.31327416246211
399.7277676950998,61.02088167053365,399.1833030852995,21.345707656612532,399.1833030852995,17.169373549884,399.1833030852995,13.689095127610216,286.6359865180192,42.39073030604354,298.7360642986777,95.7896610564824
449.2740471869328,90.48723897911833,449.2740471869328,50.5800464037123,449.2740471869328,39.67517401392112,449.2740471869328,32.946635730858475,297.2235545760954,45.87621533532207,313.6284677210267,96.73719294368948
498.82032667876587,100,499.3647912885662,80.74245939675174,499.9092558983666,68.44547563805105,499.3647912885662,61.948955916473324,307.21646069195975,49.36059858333641,327.5900959294788,97.57454670447711
549.4555353901997,100.23201856148492,550,93.27146171693737,550,87.47099767981439,549.4555353901997,84.22273781902553,317.4549880448247,52.79815612762249,342.4824993518278,97.99322358487092
,,,,,,,,327.68317345086854,56.19384598386919,357.3749027741768,98.3237579641292
,,,,,,,,338.44914009160834,59.71734246676243,371.336530982629,98.63225671810359
,,,,,,,,348.9979258491055,62.981369461937916,386.22893440497796,98.96279109736187
,,,,,,,,358.9261947973381,66.06360254852135,401.1213378273269,99.2272186007685
,,,,,,,,369.16472215020303,68.84009133429088,415.5483536427275,99.42774279085185
,,,,,,,,380.55120560020737,71.88100762346703,429.97536945812806,99.75607360758174
,,,,,,,,391.06896551724134,74.49883990719258,444.86777288047705,99.84421610871728
,,,,,,,,401.7418546365915,76.99327268932838,459.760176302826,99.84421610871728
,,,,,,,,412.6008987987209,78.95444333959415,474.652579725175,99.84421610871728
,,,,,,,,422.2632319715545,80.77710434521838,489.07959554057555,99.88388023422827
,,,,,,,,432.45743669518623,82.67846401257074,503.50661135597613,99.84421610871728
,,,,,,,,443.10964192089415,84.22095778244271,518.3990147783251,99.84421610871728
,,,,,,,,453.24474980554834,85.61471108164844,532.8260305937256,99.88388023422827
,,,,,,,,463.7159709618874,87.1021157883107,546.7876588021778,99.86900618716165
,,,,,,,,474.7559991933857,88.34161971052923,,
,,,,,,,,485.4082044190937,89.48747222529126,,
,,,,,,,,496.47408751764465,90.63332474005328,,
,,,,,,,,507.22971221156337,91.4949176886532,,
,,,,,,,,518.1663209748508,92.25845210473982,,
,,,,,,,,529.051220004033,92.991136645429,,
,,,,,,,,539.703425229741,93.63016977866167,,
,,,,,,,,547.2530464091262,93.94417743895703,,
