red,,black,
X,Y,X,Y
110.31446540880503,0.24017675534553554,110.18867924528303,0.020404901998846876
107.42138364779875,0.4163600255825457,117.35849056603774,0.8324419967983698
117.35849056603774,3.1946609910494503,125.53459119496856,1.413977431942926
122.51572327044025,4.079617715612711,125.53459119496856,2.401767553455358
125.28301886792454,6.008430775712798,122.38993710691824,4.426064098520925
125.53459119496856,6.929596780336568,141.63522012578616,7.217837157209327
141.63522012578616,9.798293459860266,107.54716981132076,0.023533223311126193
154.33962264150944,2.3533223311126217,,
152.0754716981132,1.357511017005077,,
