red,,black,
X,Y,X,Y
7.190811223192338,12.731301606879768,99.601593625498,98.79227053140096
14.071703728819944,17.653350235835575,90.0398406374502,91.54589371980676
16.776722895651435,21.13834926508376,60.75697211155379,54.58937198067632
21.18928541154531,26.696410216877368,49.00398406374502,44.68599033816425
32.75324234974994,31.94697125432556,38.84462151394422,36.47342995169082
39.44816478765789,39.542219138657615,39.84063745019921,40.33816425120773
50.09917775705688,49.56210384760338,35.657370517928285,37.19806763285024
61.66313469526152,53.97934011717545,29.48207171314741,33.33333333333333
67.74942782063238,66.5483991160448,25.09960159362549,30.67632850241546
80.22632872764262,80.07455159831432,24.501992031872515,27.77777777777777
5.179282868525892,10.869565217391298,27.09163346613546,27.05314009661835
4.183266932270911,8.212560386473427,22.11155378486055,22.463768115942017
,,21.11553784860558,21.014492753623188
,,18.525896414342622,18.1159420289855
,,16.135458167330672,15.700483091787433
,,17.33067729083665,14.734299516908209
,,9.760956175298805,7.971014492753611
,,8.565737051792826,10.869565217391298
,,6.175298804780876,4.589371980676333
,,3.1872509960159334,3.381642512077306
,,1.394422310756969,3.381642512077306
,,0,0.2415458937198025
