flat_particles,,gavnholt_and_schiotz,,hexagonal_particles,
X,Y,X,Y,X,Y
4.770992366412212,5.204225515667229,22.328244274809162,0.011373669942511046,13.773428287717987,7.606588951279523
9.160305343511443,10.388746452028979,24.427480916030536,0.02438729103246286,16.836948426736175,8.994538581838384
14.122137404580155,3.230849813042324,28.244274809160306,0.026195063869749347,19.900468565754355,10.30466950237383
35.1145038167939,0.7548258954661416,31.488549618320608,0.06796700557986002,22.963988704772543,11.993781341097515
68.12977099236642,0.27737299899519174,43.702290076335885,0.003984869273974221,26.027508843790724,13.675752767079155
75,0.06960654915501419,55.34351145038168,0.01921515501181722,29.09102898280891,14.568631747794726
95.0381679389313,0.0522909462739992,,,32.15454912182709,15.61827419499954
,,,,35.21806926084528,16.87643693912691
,,,,38.28158939986346,18.94126559194478
,,,,41.400809905045605,21.624867654190627
,,,,44.408629677899825,22.898739060709087
,,,,47.6887623520001,24.040655359450472
,,,,50.5356699559362,24.939786233671022
,,,,53.59919009495438,24.939786233671022
,,,,56.66271023397256,24.939786233671022
,,,,59.72623037299074,24.27834221083333
,,,,62.789750512008936,23.007616647192222
,,,,66.13177248184695,21.941736179727243
,,,,69.418094085521,20.52545297218251
,,,,72.53731459070315,19.365228572049993
,,,,75.57298454663935,17.983972234883232
,,,,78.66435486873952,16.90314235670512
,,,,81.7278750077577,15.942630792950041
,,,,84.82233979464475,15.35437245120798
,,,,87.82706510271208,14.85239055534244
,,,,90.91843542481226,14.18224774673651
