judge,cell_set,n,rho,kappa,icc2,icc3,abs_diff,mean_diff,rank_icc2
claude-sonnet-4.6,all,59,0.299,0.24,0.308,0.358,0.526,-0.304,1
deepseek-v3.2,all,59,0.249,0.119,0.178,0.261,0.757,-0.574,2
gemini-3-flash,all,59,0.333,-0.023,0.164,0.253,0.533,0.486,3
qwen3.5-397b-a17b,all,59,0.154,-0.018,0.077,0.082,0.597,-0.223,4
claude-sonnet-4.6,loo_no_self,39,0.488,0.251,0.378,0.463,0.576,-0.391,1
deepseek-v3.2,loo_no_self,47,0.212,0.145,0.176,0.265,0.772,-0.602,2
gemini-3-flash,loo_no_self,43,0.314,-0.032,0.076,0.119,0.552,0.492,3
qwen3.5-397b-a17b,loo_no_self,48,0.168,0.0,0.072,0.077,0.591,-0.239,4
gemini-3-flash,self_only,16,0.497,0.0,0.398,0.57,0.481,0.469,1
deepseek-v3.2,self_only,12,0.545,0.0,0.173,0.218,0.696,-0.463,2
qwen3.5-397b-a17b,self_only,11,-0.015,-0.138,0.086,0.081,0.627,-0.155,3
claude-sonnet-4.6,self_only,20,0.01,0.222,0.039,0.039,0.43,-0.135,4
